sensor_id,site_name,lon,lat,flood_risk,flood_time
WWS127,Jln Tukang OD (Unit 14),103.7131,1.3295,high,2023-05-29 07:00|2023-05-29 09:00|2023-05-29 13:00|2023-05-29 14:00|2023-05-29 19:00
WWS132,Sunset Dr (Unit 10),103.7673,1.3253,medium,
WWS133,Alexandra Rd (Opp Fragrance Empire Bldg),103.8021,1.2749,medium,
WWS137,Lor Kismis (Unit 2),103.765,1.3366,medium,
WWS140,Sg Jurong (AYE),103.7332,1.3264,medium,
WWS142,Penjuru Rd OD (Penjuru St),103.7295,1.3049,medium,
WWS144,Jurong Port Rd OD (Jln Buroh),103.7164,1.3144,medium,
WWS149,Pioneer Rd OD Outfall,103.658,1.3122,medium,
WWS151,Sunview Way OD (Sunview Way),103.6999,1.3189,medium,
WWS157,Tuas View OD3 (Tuas South Ave 1),103.6246,1.3073,medium,
WWS160,Tuas Rd OD7 (Tuas West Dr),103.6331,1.3296,low,
WWS164,ZhengHua Rd OD (Opp ZhengHua Pri Sch),103.7693,1.3786,low,
WWS176,Chin Bee Rd/ International Rd,103.7133,1.3289,high,2023-05-29 06:00|2023-05-29 08:00|2023-05-29 09:00|2023-05-29 11:00|2023-05-29 12:00|2023-05-29 14:00|2023-05-29 14:00
WWS180,West Coast Rd (Blk 409),103.7471,1.3183,medium,
WWS181,Yew Siang Road/ W Coast Hwy,103.7924,1.2769,medium,
WWS183,Tuas South Blvd Ext OD1 (Tuas South Ave 5),103.6248,1.2889,low,
WWS189,Pioneer Rd OD (Tuas Rd),103.658,1.3164,low,
WWS196,Sg Lanchar SD A (17 Upper Jurong Rd),103.6926,1.3344,low,
WWS197,Sg Lanchar SD B2 (Blk 834 Jurong West Ave 5),103.6945,1.3433,high,2023-05-29 07:00
WWS198,Sg Lanchar SD B1 (Blk 866 Jurong West St 81),103.6957,1.3506,medium,
WWS203,Sg Lanchar Sub Drain A (Pioneer Point),103.6978,1.3343,low,
WWS204,Sg Lanchar SD C (Jln Bahar),103.6981,1.3559,low,
WWS216,Jurong Port Rd SD1 (Jln Tepong),103.7193,1.3123,medium,
WWS281,Sg Pandan (West Coast Rd),103.7493,1.3175,medium,
WWS285,Sg Ulu Pandan (Freesia Woods),103.7658,1.3233,high,2023-05-29 05:00|2023-05-29 06:00|2023-05-29 07:00|2023-05-29 08:00|2023-05-29 08:00|2023-05-29 09:00|2023-05-29 09:00|2023-05-29 10:00|2023-05-29 10:00|2023-05-29 10:00|2023-05-29 11:00|2023-05-29 11:00|2023-05-29 11:00|2023-05-29 12:00|2023-05-29 12:00|2023-05-29 12:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 14:00|2023-05-29 14:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-29 15:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 16:00|2023-05-29 16:00|2023-05-29 17:00|2023-05-29 17:00|2023-05-29 17:00|2023-05-29 18:00|2023-05-29 18:00|2023-05-29 18:00|2023-05-29 19:00|2023-05-29 20:00|2023-05-29 20:00|2023-05-29 21:00|2023-05-29 21:00|2023-05-29 21:00|2023-05-29 22:00|2023-05-29 22:00|2023-05-29 23:00|2023-05-29 23:00|2023-05-30 00:00|2023-05-30 00:00|2023-05-30 01:00|2023-05-30 02:00|2023-05-30 03:00|2023-05-30 03:00|2023-05-30 04:00
WWS307,Sg Mandai (Woodlands Rd),103.7608,1.4335,medium,
WWS309,Sg Mandai Kechil (Woodlands Rd),103.7679,1.4405,low,
WWS312,Bt Timah 1st Diversion Canal (Pine Grove),103.7726,1.3186,high,2023-05-29 07:00|2023-05-29 08:00|2023-05-29 10:00|2023-05-29 12:00|2023-05-29 14:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 17:00|2023-05-29 19:00|2023-05-29 20:00|2023-05-30 04:00
WWS315,Tuas Rd End OD (unit no. 43),103.6496,1.3072,medium,
WWS321,International Rd/ Second Chin Bee Rd,103.7143,1.3298,medium,
WWS387,Tuas Ave 12/Tuas Ave 1,103.646,1.3354,medium,
WWS398,Sg Kadut Dr/Kranji Way,103.7492,1.4351,medium,
WWS403,Sg Kadut Dr/Kranji Link,103.7478,1.4321,high,2023-05-29 06:00|2023-05-29 07:00|2023-05-29 08:00|2023-05-29 08:00|2023-05-29 09:00|2023-05-29 12:00|2023-05-29 13:00|2023-05-29 14:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 17:00|2023-05-29 18:00|2023-05-29 19:00
